#ϕi     #w (amp2)             #rf   #wt	                  #mf	                #com	                #Q
0.26    1.2299289007917908    35    0.8575721733315550    0.6327535935796034    0.018083840913963256    0.9361219035924159
0.27    1.2418915739233443    35    0.8534735826551804    0.6329988037097244    0.018090848919968427    0.9501829242944589 Max
0.28    1.2541514799984106    30    0.8494709026370116    0.6328469778722324    0.021101933240153137    0.963821015110087
0.29    1.2667176366846424    30    0.8455637652715093    0.6323276553886168    0.021084616718525406    0.9770581619513
0.30    1.2795993958104641    30    0.8417518411752460    0.6314678723687167    0.021055947728198632    0.9899144724949008
0.31    1.2928064574589880    30    0.8380348390590298    0.6302924315282377    0.021016753302040614    1.002408389658152
0.32    1.3063488847124396    30    0.8344125052638190    0.6288241354909894    0.020967793780958647    1.0145568747189504
0.33    1.3202371190586644    30    0.8308846232812227    0.6270839901709808    0.020909769595563232    1.0263755665061072
0.34    1.3344819964951158    30    0.8274510132808014    0.6250913826941373    0.020843327198869555    1.0378789202079863
0.35    1.3490947643525220    30    0.8241115316111740    0.6228642379949123    0.020769064287925076    1.0490803296540845
0.36    1.3640870988756966    30    0.8208660702967897    0.6204191570055990    0.020687534411655883    1.0599922352611082
0.37    1.3794711235917008    30    0.8177145565189199    0.6177715391311597    0.020599251054722267    1.070626219991045
0.38    1.3952594284953075    30    0.8146569520684926    0.6149356912637400    0.020504691272547560    1.0809930953214122
0.39    1.4114650900877050    30    0.8116932527749149    0.6119249250794458    0.020404298935625453    1.0911029785796387
0.40    1.4281016923012848    30    0.8088234879015404    0.6087516441892715    0.020298487635519613    1.1009653630048812
0.41    1.4451833483427208    30    0.8060477194965238    0.6054274224958356    0.020187643297625790    1.1105891817508113
0.42    1.4627247234927727    30    0.8033660417028821    0.6019630747639734    0.020072126534309287    1.119982866532113
0.43    1.4807410588966963    25    0.8007785800167406    0.5983687203940644    0.023944326546380068    1.1291544018112183
0.44    1.4992481963638338    25    0.7982854904478969    0.5946538415068726    0.023795671929045470    1.1381113759611934
0.45    1.5182626042570120    25    0.7958869586846816    0.5908273351464153    0.023642550426025973    1.146861027809381
